Dato,Land,Destination,Dal (cm),Top (cm)
2026-02-08,italien,Alagna,30,60
2026-02-08,italien,Alba,10,60
2026-02-08,italien,Alleghe,30,150
2026-02-08,italien,Andalo,50,90
2026-02-08,italien,Bardonecchia,30,120
2026-02-08,italien,Campitello,50,100
2026-02-08,italien,Canazei,50,100
2026-02-08,italien,Cervinia,60,150
2026-02-08,italien,Champoluc,50,85
2026-02-08,italien,Courmayeur,30,90
2026-02-08,italien,Folgaria,40,80
2026-02-08,italien,Folgarida,40,90
2026-02-08,italien,Gressoney,30,60
2026-02-08,italien,Kronplatz,15,60
2026-02-08,italien,La Thuile,50,160
2026-02-08,italien,Limone Piemonte,120,200
2026-02-08,italien,Livigno,54,77
2026-02-08,italien,Macugnaga,40,50
2026-02-08,italien,Madonna di Campiglio,31,80
2026-02-08,italien,Marilleva,50,130
2026-02-08,italien,Montecampione,40,80
2026-02-08,italien,Passo Tonale,50,160
2026-02-08,italien,Predazzo,80,110
2026-02-08,italien,Sauze d´Oulx,20,70
2026-02-08,italien,Sestriere,30,60
2026-02-08,italien,Val Gardena,60,90
2026-02-08,italien,Valgrisenche,40,50
2026-02-08,oestrig,Abtenau,10,20
2026-02-08,oestrig,Alpbachtal,45,90
2026-02-08,oestrig,Altenmarkt / Radstadt,50,50
2026-02-08,oestrig,Annaberg,40,60
2026-02-08,oestrig,Axamer Lizum,70,90
2026-02-08,oestrig,Bad Gastein,30,60
2026-02-08,oestrig,Bad Hofgastein,30,60
2026-02-08,oestrig,Bad Kleinkirchheim,60,100
2026-02-08,oestrig,Bregenzerwald,50,70
2026-02-08,oestrig,Brixen im Thale,65,95
2026-02-08,oestrig,Ellmau,20,95
2026-02-08,oestrig,Fieberbrunn,70,70
2026-02-08,oestrig,Filzmoos,70,75
2026-02-08,oestrig,Flachau,60,140
2026-02-08,oestrig,Fügen,30,60
2026-02-08,oestrig,Gerlos,60,80
2026-02-08,oestrig,Gosau,80,110
2026-02-08,oestrig,Grossarl,50,85
2026-02-08,oestrig,Göstling,30,50
2026-02-08,oestrig,Haus im Ennstal,30,60
2026-02-08,oestrig,Hopfgarten,65,95
2026-02-08,oestrig,Ischgl,20,60
2026-02-08,oestrig,Kappl,35,85
